"final_place","PP","Horse","Jockey","Trainer","Odds","Win","Place","Show","year","race","high_temp","low_temp","precipitation_24hrs","weather","track_condition","attendance"
9,"8","General Quarters","Julian Leparoux","Tom McCarthy",21,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
10,"5","Friesan Fire","Gabriel Saez","Larry Jones",11,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
11,"9","Pioneerof the Nile","Garrett Gomez","Bob Baffert",6,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
12,"12","Tone It Down","Kent Desormeaux","William Komlo",51,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
13,"11","Take the Points","Edgar Prado","Todd Pletcher",31,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
1,"7","Lookin At Lucky","Martin Garcia","Bob Baffert",3,6.8,4.6,3.8,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
2,"11","First Dude","Ramon Dominguez","Dale Romans",24,0,16.6,9.2,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
3,"6","Jackson Bend","Mike Smith","Nick Zito",12,0,0,6.6,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
4,"5","Yawanna Twist","Edgar Prado","Richard Dutrow Jr.",17,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
5,"12","Dublin","Garrett Gomez","D. Wayne Lukas",10,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
6,"10","Paddy O'Prado","Kent Desormeaux","Dale Romans",8,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
7,"9","Caracortado","Paul Atkinson","Michael Machowsky",19,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
8,"8","Super Saver","Calvin Borel","Todd Pletcher",3,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
9,"2","Schoolyard Dreams","Eibar Coa","Derek Ryan",16,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
10,"1","Aikenite","Javier Castellano","Todd Pletcher",31,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
11,"3","Pleasant Prince","Julien Leparoux","Wesley Ward",24,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
12,"4","Northern Giant","Terry Thompson","D. Wayne Lukas",31,0,0,0,2010,"Preakness",76.1,66.7,0,"Clear","Fast",96760
1,"5","Shackleford","Jesus Castanon","Dale Romans",13,27.2,10.2,6.8,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
2,"11","Animal Kingdom","John R.Â Velazquez","H. Graham Motion",3,0,4.2,3.6,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
3,"1","Astrology","Mike Smith","Steve Asmussen",16,0,0,8,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
4,"10","Dialed In","Julien Leparoux","Nick Zito",5.5,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
5,"8","Dance City","Ramon Dominguez","Todd Pletcher",13,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
6,"9","Mucho Macho Man","Rajiv Maragh","Kathy Ritvo",7,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
7,"3","King Congie","Robby Albarado","Thomas Albertrani",21,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
8,"14","Mr. Commons","Victor Espinoza","John Shirreffs",21,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
9,"12","Isn't He Perfect","Edgar Prado","Doodnauth Shivmangal",31,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
10,"13","Concealed Identity","Sheldon Russell","Edmond Gaudet",31,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
11,"2","Norman Asbjornson","Julian Pimentel","Chris Grove",31,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
12,"6","Sway Away","Garrett Gomez","Jeff Bonde",16,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
13,"7","Midnight Interlude","Martin Garcia","Bob Baffert",16,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
14,"4","Flashpoint","Cornelio Velasquez","Wesley Ward",21,0,0,0,2011,"Preakness",73.9,59,0.08,"Clear","Fast",118356
1,"9","I'll Have Another","Mario Gutierrez","Doug O'Neill",4,8.4,3.8,2.8,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
2,"7","Bodemeister","Mike Smith","Bob Baffert",2.8,0,3.2,2.8,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
3,"6","Creative Cause","Joel Rosario","Mike Harrington",7,0,0,3.6,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
4,"4","Zetterholm","John Alvarado","Richard Dutrow, Jr.",21,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
5,"2","Teeth of the Dog","Joe Bravo","Michael Matz",16,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
6,"10","Optimizer","Jon Court","D. Wayne Lukas",24,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
7,"11","Cozzetti","Dale Romans","Jose Lezcano",28,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
8,"1","Tiger Walk","Ramon Dominguez","Ignacio Correas, IV",24,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
9,"8","Daddy Nose Best","Juan Leparoux","Steve Asmussen",12,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
10,"5","Went The Day Well","John Velazquez","Graham Motion",7,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
11,"3","Pretension","Javier Santiago","Chris Grove",34,0,0,0,2012,"Preakness",84,60.1,0,"Clear","Fast",121309
1,"6","Oxbow","Gary Stevens","D. Wayne Lukas",16,32.8,12,6.8,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
2,"9","Itsmyluckyday","John Velazquez","Eddie Plesa Jr.",11,0,7.8,5,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
3,"5","Mylute","Rosie Napravnik","Tom Amoss",6,0,0,5.2,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
4,"1","Orb","Joel Rosario","Shug McGaughey",1.6,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
5,"2","Goldencents","Kevin Krigger","Doug OâNeill",9,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
6,"4","Departing","Brian Hernandez, Jr.","Albert M. Stall, Jr.",7,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
7,"7","Will Take Charge","Mike Smith","D. Wayne Lukas",13,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
8,"8","Govenor Charlie","Martin Garcia","Bob Baffert",13,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
9,"3","Titletown Five","Julien Leparoux","D. Wayne Lukas",31,0,0,0,2013,"Preakness",78.1,64,0,"Clear","Fast",117203
1,"3","California Chrome","Victor Espinoza","Art Sherman",1.6,3,3,2.4,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
2,"10","Ride On Curlin","Joel Rosario	","William Gowan",11,0,5.6,3.8,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
3,"8","Social Inclusion","Luis Contreras","Manny Azpurua	",6,0,0,3.4,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
4,"2","General a Rod","Javier Castellano","Mike Maker",16,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
5,"4","Ring Weekend","Alan Garcia","Graham Motion",21,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
6,"9","Pablo Del Monte","Jeffrey Sanchez","Wesley Ward",21,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
7,"1","Dynamic Impact","Miguel Mena","Mark Casse",13,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
8,"7","Kid Cruz","Julian Pimentel","Linda Rice",21,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
9,"5","Bayern	","Rosie Napravnik","Bob Baffert",11,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
10,"6","Ria Antonia (F)","Calvin Borel","Tom Amoss",31,0,0,0,2014,"Preakness",68,54,0.38,"Cloudy","Fast",123469
1,"1","American Pharoah","Victor Espinoza","Bob Baffert",1.8,3.8,3.4,2.8,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
2,"5","Tale of Verve","Joel Rosario","Dallas Stewart",26,0,19,8.8,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
3,"7","Divining Rod","Javier Castellano","Arnaud Delacour",13,0,0,5.2,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
4,"2","Dortmund","Martin Garcia","Bob Baffert",5,0,0,0,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
5,"3","Mr. Z","Corey Nakatani","D. Wayne Lukas",17,0,0,0,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
6,"4","Danzig Moon","Julien Leparoux","Mark Casse",14,0,0,0,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
7,"8","Firing Lane","Gary Stevens","Simon Callaghan",4,0,0,0,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
8,"6","Bodhisattva","Trevor McCarthy","Jose Corrales",26,0,0,0,2015,"Preakness",82.9,63,0,"Rainy","Sloppy",131680
1,"5","Exaggerator","Kent Desormeaux","J. Keith Desormeaux",3.5,7.2,3.2,2.4,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
2,"1","Cherry Wine","Corey Lanerie","Dale Romans",18,0,9.8,4.2,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
3,"3","Nyquist","Mario Gutierrez","Doug O'Neill",1.8,0,0,2.2,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
4,"11","Stradivari","John Velazquez","Todd Pletcher",9,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
5,"6","Lani","Yutaka Take","Mikio Matsunaga",31,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
6,"8","Laoban","Florent Geroux","Eric Guillot",68,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
7,"2","Uncle Lino","Fernando Perez","Gary Sherlock",36,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
8,"10","Fellowship","Jose Lezcano","Mark E. Casse",59,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
9,"4","Awesome Speed","Jevian Toledo","Alan E. Goldberg",53,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
10,"7","Collected","Javier Castellano","Bob Baffert",15,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
11,"9","Abiding Star","J.D. Acosta","Ned Allar",41,0,0,0,2016,"Preakness",70,55,0.03,"Rainy","Sloppy",135256
1,"2","Cloud Computing","Javier Castellano","Chad Brown",14,28.8,8.6,6,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
2,"5","Classic Empire","Julien Leparoux","Mark Casse",3,0,4.4,4,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
3,"8","Senior Investment","Channing Hill","Ken McPeek",26,0,0,10.2,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
4,"9","Lookin at Lee","Corey Lanerie","Steve Asmussen",10,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
5,"6","Gunnevera","Mike Smith","Antonio Sano",11,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
6,"1","Multiplier","Joel Rosario","Brendan Walsh",20,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
7,"10","Conquest Mo Money","Jorge Carreno","Miguel Hernandez",11,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
8,"4","Always Dreaming","John Velazquez","Todd Pletcher",2.4,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
9,"3","Hence","Florent Geroux","Steve Asmussen",22,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
10,"7","Term of Art","Jose Ortiz","Doug O'Neill",46,0,0,0,2017,"Preakness",77,66,0.43,"Cloudy","Fast",140327
1,"7","Justify","Mike Smith","Bob Baffert",1.5,2.8,2.8,2.6,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
2,"8","Bravazo","Luis Contreras","D. Wayne Lukas",21,0,7.6,6.8,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
3,"6","Tenfold","Ricardo Santana Jr.","Steve Asmussen",21,0,0,6.8,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
4,"5","Good Magic","Jose Ortiz","Chad Brown",4,0,0,0,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
5,"2","Lone Sailor","Irad Ortiz Jr.","Thomas Amoss",16,0,0,0,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
6,"3","Sporting Chance","Luis Contreras","D. Wayne Lukas",31,0,0,0,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
7,"4","Diamond King","Javier Castellano","John Servis",31,0,0,0,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
8,"1","Quip","Florent Geroux","Rodolphe Brisset",13,0,0,0,2018,"Preakness",64,52,0.95,"Foggy","Sloppy",134487
1,"1","War of Will","Mark Casse","Tyler Gaffalione",7,14.2,7.4,5.4,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
2,"10","Everfast","Dale Romans","Joel Rosario",26,0,32,14.4,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
3,"5","Owendale","Brad Cox","Florent Geroux",9,0,0,6,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
4,"3","Warriorâs Charge","Brad Cox","Javier Castellano",14,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
5,"11","Laughing Fox","Steve Asmussen","Ricardo Santana Jr.",21,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
6,"4","Improbable","Bob Baffert","Mike Smith",3.5,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
7,"13","Win Win Win","Michael Trombetta","Julian Pimentel",14,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
8,"2","Bourbon War","Mark Hennig","Irad Ortiz Jr.",13,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
9,"8","Signalman","Kenny McPeek","Brian Hernandez Jr.",22,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
10,"12","Anothertwistafate","Blaine Wright","Jose Ortiz",15,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
11,"7","Alwaysmining","Kelly Rubley","Daniel Centeno",8,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
12,"6","Market King","D. Wayne Lukas","Jon Court",31,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
13,"9","Bodexpress","Gustavo Delgado","John Velazquez",20,0,0,0,2019,"Preakness",78.1,70,0,"Cloudy","Fast",131256
